ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
n6q1,KW_n2q1_4,2.8119999999999994,3,2
n6q1,INST_n2q1_1,0.734,1,0
n6q1,KW_n2q1_1,2.690999999999999,3,2
n6q1,BG_n2q1,1.222,4,3
n6q1,KW_n2q1_2,0.979,1,0
n6q1,KW_n2q1_3,1.101,1,0
n6q2,KW_n2q2_3,7.700999999999999,4,3
n6q2,KW_n2q2_2,8.798999999999998,2,1
n6q2,INST_n2q2_1,0.977,1,0
n6q2,BG_n2q2,0.367,3,2
n6q2,KW_n2q2_4,2.687999999999999,2,1
n6q2,KW_n2q2_1,5.990999999999999,1,0
n6q3,KW_n2q3_1,1.101,4,3
n6q3,INST_n2q3_2,4.277999999999999,3,2
n6q3,INST_n2q3_1,3.666999999999999,3,2
n6q3,BG_n2q3,0.734,4,3
n6q3,KW_n2q3_2,1.7109999999999999,3,2
n6q3,KW_n2q3_3,1.4669999999999996,3,2
n6q4,INST_n2q4_2b,1.956,2,1
n6q4,KW_n2q4_1,15.278999999999986,6,5
n6q4,INST_n2q4_1,0.978,2,1
n6q4,BG_n2q4,1.468,4,3
n6q4,INST_n2q4_2a,5.2559999999999985,4,3
n6q5,BG_n2q5,3.9129999999999994,7,6
n6q5,INST_n2q5_1a,1.833,3,2
n6q5,INST_n2q5_1c,1.7119999999999997,2,1
n6q5,INST_n2q5_1b,0.244,2,1
n7q1,KW_n2q1_4,2.323,4,3
n7q1,INST_n2q1_1,0.373,1,0
n7q1,KW_n2q1_1,7.093,1,0
n7q1,BG_n2q1,1.5909999999999997,6,5
n7q1,KW_n2q1_2,0.611,1,0
n7q1,KW_n2q1_3,1.2229999999999999,2,1
n7q2,KW_n2q2_3,2.809999999999999,2,1
n7q2,KW_n2q2_2,3.911999999999999,1,0
n7q2,INST_n2q2_1,1.222,1,0
n7q2,BG_n2q2,1.347,7,6
n7q2,KW_n2q2_4,3.666,5,4
n7q2,KW_n2q2_1,5.377999999999998,2,1
n7q3,KW_n2q3_1,0.733,2,1
n7q3,INST_n2q3_2,3.4209999999999985,3,2
n7q3,INST_n2q3_1,1.8329999999999997,1,0
n7q3,BG_n2q3,0.978,4,3
n7q3,KW_n2q3_2,1.346,3,2
n7q3,KW_n2q3_3,2.810999999999999,4,3
n7q4,INST_n2q4_2b,2.0779999999999994,4,3
n7q4,KW_n2q4_1,30.315,4,3
n7q4,INST_n2q4_1,0.245,1,0
n7q4,BG_n2q4,2.0779999999999994,8,7
n7q4,INST_n2q4_2a,2.810999999999999,4,3
n7q5,BG_n2q5,1.467,2,1
n7q5,INST_n2q5_1a,0.244,1,0
n7q5,INST_n2q5_1c,3.054999999999999,1,0
n7q5,INST_n2q5_1b,2.5679999999999996,3,2
n8q1,KW_n2q1_4,3.299999999999999,2,1
n8q1,INST_n2q1_1,0.369,1,0
n8q1,KW_n2q1_1,1.1,3,2
n8q1,BG_n2q1,0.856,4,3
n8q1,KW_n2q1_2,1.101,2,1
n8q1,KW_n2q1_3,4.5249999999999995,1,0
n8q2,KW_n2q2_3,0.856,1,0
n8q2,KW_n2q2_2,1.7119999999999997,1,0
n8q2,INST_n2q2_1,2.8109999999999995,2,1
n8q2,BG_n2q2,2.5679999999999996,6,5
n8q2,KW_n2q2_4,1.222,1,0
n8q2,KW_n2q2_1,1.589,3,2
n8q3,KW_n2q3_1,1.343,3,2
n8q3,INST_n2q3_2,3.422999999999999,2,1
n8q3,INST_n2q3_1,1.7109999999999994,1,0
n8q3,BG_n2q3,1.9559999999999986,8,7
n8q3,KW_n2q3_2,1.223,2,1
n8q3,KW_n2q3_3,1.5890000000000006,3,2
n8q4,INST_n2q4_2b,3.789999999999999,2,1
n8q4,KW_n2q4_1,15.891999999999983,3,2
n8q4,INST_n2q4_1,0.611,2,1
n8q4,BG_n2q4,1.467,4,3
n8q4,INST_n2q4_2a,3.056,3,2
n8q5,BG_n2q5,3.786999999999999,14,13
n8q5,INST_n2q5_1a,1.9549999999999996,2,1
n8q5,INST_n2q5_1c,3.056999999999999,7,6
n8q5,INST_n2q5_1b,2.9349999999999996,5,4
n9q1,KW_n2q1_4,3.1799999999999997,3,2
n9q1,INST_n2q1_1,0.245,1,0
n9q1,KW_n2q1_1,0.979,3,2
n9q1,BG_n2q1,5.499999999999999,8,7
n9q1,KW_n2q1_2,2.446999999999999,1,0
n9q1,KW_n2q1_3,1.7119999999999997,3,2
n9q2,KW_n2q2_3,1.2229999999999999,3,2
n9q2,KW_n2q2_2,3.055999999999999,1,0
n9q2,INST_n2q2_1,1.834,1,0
n9q2,BG_n2q2,2.4449999999999994,6,5
n9q2,KW_n2q2_4,1.588,1,0
n9q2,KW_n2q2_1,3.177999999999999,2,1
n9q3,KW_n2q3_1,1.1,2,1
n9q3,INST_n2q3_2,6.234000000000001,2,1
n9q3,INST_n2q3_1,4.034999999999999,1,0
n9q3,BG_n2q3,0.856,4,3
n9q3,KW_n2q3_2,1.3450000000000015,2,1
n9q3,KW_n2q3_3,2.200999999999998,2,1
n9q4,INST_n2q4_2b,2.1999999999999997,5,4
n9q4,KW_n2q4_1,19.802999999999994,3,2
n9q4,INST_n2q4_1,2.443999999999999,1,0
n9q4,BG_n2q4,2.320999999999996,7,6
n9q4,INST_n2q4_2a,5.5009999999999994,2,1
n9q5,BG_n2q5,3.421,6,5
n9q5,INST_n2q5_1a,2.688999999999999,3,2
n9q5,INST_n2q5_1c,1.3449999999999998,3,2
n9q5,INST_n2q5_1b,1.8349999999999997,2,1
