ADQ_ID,ROI,FixTime,EnterCount,RegressionCount,Group
ad13q4,INST_n2q4_2b,5.868999999999998,14,13,ad
ad13q4,KW_n2q4_1,8.921999999999997,7,6,ad
ad13q4,INST_n2q4_1,3.545,5,4,ad
ad13q4,BG_n2q4,13.68899999999999,31,30,ad
ad13q4,INST_n2q4_2a,10.147999999999994,11,10,ad
ad13q5,BG_n2q5,9.778999999999996,13,12,ad
ad13q5,INST_n2q5_1a,1.467,4,3,ad
ad13q5,INST_n2q5_1c,3.422,5,4,ad
ad13q5,INST_n2q5_1b,4.033999999999999,6,5,ad
ad14q1,KW_n2q1_4,5.259,8,7,ad
ad14q1,INST_n2q1_1,3.916999999999999,5,4,ad
ad14q1,KW_n2q1_1,11.12299999999999,19,18,ad
ad14q1,BG_n2q1,6.481999999999998,19,18,ad
ad14q1,KW_n2q1_2,3.1800000000000024,7,6,ad
ad14q1,KW_n2q1_3,8.922999999999996,14,13,ad
ad14q2,KW_n2q2_3,8.924999999999994,9,8,ad
ad14q2,KW_n2q2_2,10.877999999999991,7,6,ad
ad14q2,INST_n2q2_1,0.123,1,0,ad
ad14q2,BG_n2q2,3.296999999999999,12,11,ad
ad14q2,KW_n2q2_4,6.968000000000002,7,6,ad
ad14q2,KW_n2q2_1,14.179999999999987,8,7,ad
ad14q3,KW_n2q3_1,10.021999999999991,13,12,ad
ad14q3,INST_n2q3_2,3.665999999999995,6,5,ad
ad14q3,INST_n2q3_1,2.318999999999999,2,1,ad
ad14q3,BG_n2q3,7.461,19,18,ad
ad14q3,KW_n2q3_2,3.910999999999999,11,10,ad
ad14q3,KW_n2q3_3,10.021999999999997,11,10,ad
ad14q4,INST_n2q4_2b,11.247999999999996,9,8,ad
ad14q4,KW_n2q4_1,6.478,7,6,ad
ad14q4,INST_n2q4_1,6.356000000000002,6,5,ad
ad14q4,BG_n2q4,9.408999999999992,20,19,ad
ad14q4,INST_n2q4_2a,7.091000000000001,12,11,ad
ad14q5,BG_n2q5,5.008999999999999,9,8,ad
ad14q5,INST_n2q5_1a,5.134999999999999,6,5,ad
ad14q5,INST_n2q5_1c,1.224,3,2,ad
ad14q5,INST_n2q5_1b,3.545,8,7,ad
ad15q1,KW_n2q1_4,6.480000000000002,14,13,ad
ad15q1,INST_n2q1_1,5.380999999999999,8,7,ad
ad15q1,KW_n2q1_1,5.866999999999996,15,14,ad
ad15q1,BG_n2q1,10.025999999999993,29,28,ad
ad15q1,KW_n2q1_2,2.446,6,5,ad
ad15q1,KW_n2q1_3,10.143999999999997,17,16,ad
ad15q2,KW_n2q2_3,5.744999999999998,9,8,ad
ad15q2,KW_n2q2_2,4.403,8,7,ad
ad15q2,INST_n2q2_1,3.792,7,6,ad
ad15q2,BG_n2q2,4.642999999999998,17,16,ad
ad15q2,KW_n2q2_4,5.379999999999999,8,7,ad
ad15q2,KW_n2q2_1,7.451999999999997,9,8,ad
ad15q3,KW_n2q3_1,2.568999999999999,6,5,ad
ad15q3,INST_n2q3_2,7.208999999999999,6,5,ad
ad15q3,INST_n2q3_1,0.977,2,1,ad
ad15q3,BG_n2q3,5.746,12,11,ad
ad15q3,KW_n2q3_2,4.280999999999999,8,7,ad
ad15q3,KW_n2q3_3,4.155,8,7,ad
ad15q4,INST_n2q4_2b,5.745000000000001,9,8,ad
ad15q4,KW_n2q4_1,2.1990000000000003,6,5,ad
ad15q4,INST_n2q4_1,1.5909999999999995,4,3,ad
ad15q4,BG_n2q4,8.429999999999998,16,15,ad
ad15q4,INST_n2q4_2a,7.704999999999999,9,8,ad
ad15q5,BG_n2q5,9.778999999999996,23,22,ad
ad15q5,INST_n2q5_1a,0.612,3,2,ad
ad15q5,INST_n2q5_1c,7.2129999999999965,14,13,ad
ad15q5,INST_n2q5_1b,6.353999999999998,12,11,ad
ad16q1,KW_n2q1_4,10.145999999999995,5,4,ad
ad16q1,INST_n2q1_1,2.2,2,1,ad
ad16q1,KW_n2q1_1,5.257,6,5,ad
ad16q1,BG_n2q1,4.773,13,12,ad
ad16q1,KW_n2q1_2,19.80099999999999,14,13,ad
ad16q1,KW_n2q1_3,7.942999999999999,5,4,ad
ad16q2,KW_n2q2_3,0.855,4,3,ad
ad16q2,KW_n2q2_2,3.0569999999999995,6,5,ad
ad16q2,INST_n2q2_1,3.788999999999999,6,5,ad
ad16q2,BG_n2q2,2.199,9,8,ad
ad16q2,KW_n2q2_4,1.221,2,1,ad
ad16q2,KW_n2q2_1,13.692999999999987,7,6,ad
ad16q3,KW_n2q3_1,2.2,2,1,ad
ad16q3,INST_n2q3_2,6.355999999999999,8,7,ad
ad16q3,INST_n2q3_1,3.5420000000000016,6,5,ad
ad16q3,BG_n2q3,7.093999999999998,16,15,ad
ad16q3,KW_n2q3_2,0.855,2,1,ad
ad16q3,KW_n2q3_3,0.855,5,4,ad
ad16q4,INST_n2q4_2b,8.190999999999997,6,5,ad
ad16q4,KW_n2q4_1,4.523,6,5,ad
ad16q4,INST_n2q4_1,2.322,4,3,ad
ad16q4,BG_n2q4,4.274999999999999,15,14,ad
ad16q4,INST_n2q4_2a,8.433999999999997,9,8,ad
ad16q5,BG_n2q5,8.189999999999998,18,17,ad
ad16q5,INST_n2q5_1a,3.666,6,5,ad
ad16q5,INST_n2q5_1c,4.155999999999999,6,5,ad
ad16q5,INST_n2q5_1b,5.744999999999998,13,12,ad
ad17q1,KW_n2q1_4,5.504,10,9,ad
ad17q1,INST_n2q1_1,3.552,2,1,ad
ad17q1,KW_n2q1_1,10.026999999999996,8,7,ad
ad17q1,BG_n2q1,9.657999999999998,16,15,ad
ad17q1,KW_n2q1_2,2.078,8,7,ad
ad17q1,KW_n2q1_3,5.007999999999997,11,10,ad
ad17q2,KW_n2q2_3,1.4659999999999995,4,3,ad
ad17q2,KW_n2q2_2,4.888999999999999,10,9,ad
ad17q2,INST_n2q2_1,5.499999999999999,12,11,ad
ad17q2,BG_n2q2,4.157999999999999,14,13,ad
ad17q2,KW_n2q2_4,2.934,5,4,ad
ad17q2,KW_n2q2_1,7.332999999999998,9,8,ad
ad17q3,KW_n2q3_1,2.566,5,4,ad
ad17q3,INST_n2q3_2,4.887999999999998,7,6,ad
ad17q3,INST_n2q3_1,5.377999999999998,7,6,ad
ad17q3,BG_n2q3,6.232999999999999,17,16,ad
ad17q3,KW_n2q3_2,3.0559999999999974,7,6,ad
ad17q3,KW_n2q3_3,4.402000000000001,10,9,ad
ad17q4,INST_n2q4_2b,7.702000000000004,7,6,ad
ad17q4,KW_n2q4_1,5.623999999999999,7,6,ad
ad17q4,INST_n2q4_1,3.9079999999999977,11,10,ad
ad17q4,BG_n2q4,6.360999999999996,22,21,ad
ad17q4,INST_n2q4_2a,8.676999999999996,13,12,ad
ad17q5,BG_n2q5,16.26199999999999,28,27,ad
